FID,Status,Title,Ident Code,Criteria Categories,Criteria,Qualifying Species,#Qualifying Species,Supporting Species,#Supporting Species,Region,Region Code,Location,Location Code,Area Square Kilometers,Month Submitted,Year Submitted,Month Classified,Year Classified,Month Modified,Year Modified,Details
1,IMMA,Cabo Blanco IMMA,01AFRATL181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1",Monachus monachus,1,NULL,NULL,African Atlantic,AFRATL,"Mauritania, Western Sahara","MRT, ESH",19333,4,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/cabo-blanco/
2,IMMA,Albany Canyon Region IMMA,01ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C2","Physeter macrocephalus, Orcinus orca",2,"Delphinus delphis, Stenella coeruleoalba, Balaenoptera musculus intermedia, Balaenoptera musculus brevicauda, Balaenoptera physalus, Megaptera novaeangliae, Eubalaena australis, Mesoplodon layardii, Pseudorca crassidens, Globicephala melas",10,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,90657,2,2020,7,2020,10,2020,https://www.marinemammalhabitat.org/portfolio-item/albany-canyon-region/
3,IMMA,Australian East Coast Migration Corridor IMMA,02ANSEIO202020IMMA,"Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","C3, D1","Megaptera novaeangliae, Balaenoptera acutorostrata",2,"Orcaella heinsohni, Sousa sahulensis, Dugong dugon, Stenella longirostris, Pseudorca crassidens, Tursiops truncatus, Tursiops aduncus, Delphinus delphis, Orcinus orca, Balaenoptera edeni, Eubalaena australis, Arctocephalus pusillus doriferus",12,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,125481,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/australian-east-coast-migration-corridor/
4,IMMA,Central and Western Torres Strait IMMA,03ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C1, C2, D1","Dugong dugon, Sousa sahulensis, Orcaella heinsohni",3,Tursiops aduncus,1,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,"Australia, Papua New Guinea","AUS, PNG",27062,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/central-western-torres-strait/
5,IMMA,"Central West Coast, North Island IMMA",04ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1",Cephalorhynchus hectori maui,1,"Delphinus delphis, Tursiops truncatus, Orcinus orca",3,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,New Zealand,NZL,19785,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/central-west-coast-north-island-new-zealand/
6,IMMA,Dampier Archipelago IMMA,05ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C2, D1","Dugong dugon, Sousa sahulensis, Tursiops aduncus, Megaptera novaeangliae",4,"Orcaella heinsohni, Pseudorca crassidens",2,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,2933,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/dampier-archipelago/
7,IMMA,Eastern Indian Ocean Blue Whale Migratory Route IMMA,06ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C2, C3",Balaenoptera musculus brevicauda,1,Balaenoptera musculus intermedia,1,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,"Australia, Timor-Leste, Indonesia","AUS, TLS, IDN",1101394,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/eastern-indian-ocean-blue-whale-migratory-route/
8,IMMA,Geographe Bay to Eucla Shelf and Coastal Waters IMMA,07ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1, C2, C3","Eubalaena australis, Megaptera novaeangliae, Balaenoptera musculus, Neophoca cinerea, Arctocephalus forsteri",5,"Tursiops aduncus, Delphinus delphis, Balaenoptera musculus, Globicephala melas, Balaenoptera bonaerensis, Pseudorca crassidens, Orcinus orca, Kogia breviceps, Physeter macrocephalus, Caperea marginata, Tasmacetus shepherdi, Mesoplodon grayi",12,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,123161,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/geographe-bay-eucla-shelf-coastal-waters/
9,IMMA,Gourdon Bay to Bigge Island IMMA,08ANSEIO202020IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","B2, C1",Megaptera novaeangliae,1,"Balaenoptera edeni, Physeter macrocephalus, Balaenoptera physalus, Stenella longirostris, Pseudorca crassidens, Tursiops truncatus, Tursiops aduncus, Orcaella heinsohni, Sousa sahulensis",9,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,57941,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/gourdon-bay-bigge-island/
10,IMMA,Great Barrier Ribbon Reefs and Outer Shelf IMMA,09ANSEIO202020IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","B2, C1, D1",Balaenoptera acutorostrata,1,"Balaenoptera omurai, Megaptera novaeangliae, Pseudorca crassidens",3,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,1872,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/great-barrier-ribbon-reefs-outer-shelf/
11,IMMA,Hervey Bay and Great Sandy Strait IMMA,10ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, B2, C1, C2","Sousa sahulensis, Megaptera novaeangliae, Dugong dugon",3,"Tursiops aduncus, Tursiops truncatus",2,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,6926,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/hervey-bay-great-sandy-strait/
12,IMMA,Hikurangi Trench IMMA,11ANSEIO202020IMMA,Criterion D - Special Attributes,D2,NULL,NULL,"Balaenoptera musculus, Ziphius cavirostris, Balaenoptera physalus, Mesoplodon grayi, Cephalorhynchus hectori, Megaptera novaeangliae, Globicephala melas, Kogia breviceps, Balaenoptera borealis, Physeter macrocephalus, Mesoplodon layardii",11,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,New Zealand,NZL,50546,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/hikurangi-trench/
13,IMMA,Hinchinbrook to Round Hill IMMA,12ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C1, C2","Sousa sahulensis, Orcaella heinsohni, Dugong dugon",3,"Megaptera novaeangliae, Tursiops aduncus, Tursiops truncatus",3,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,21135,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/hinchinbrook-round-hill/
14,IMMA,Houtman Abrolhos to Rottnest Shelf Waters IMMA,13ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2",Neophoca cinerea,1,"Balaenoptera musculus brevicauda, Megaptera novaeangliae, Tursiops aduncus",3,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,19297,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/portfolio-item/houtman-abrolhos-rottnest-shelf-waters/
15,IMMA,Kaikoura IMMA,14ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C2","Cephalorhynchus hectori, Balaenoptera musculus, Arctocephalus forsteri",3,"Megaptera novaeangliae, Balaenoptera borealis, Balaenoptera physalus, Eubalaena australis, Lissodelphis peronii, Tursiops truncatus, Delphinus delphis, Orcinus orca, Globicephala melas, Hydrurga leptonyx, Mirounga leonina",11,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,New Zealand,NZL,5902,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/kaikoura/
16,IMMA,Mapoon to Aurukun IMMA,15ANSEIO202020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1","Orcaella heinsohni, Sousa sahulensis",2,"Tursiops aduncus, Pseudorca crassidens, Orcinus orca, Stenella longirostris",4,"Australia, New Zealand and Southeast Indian Ocean",ANSEIO,Australia,AUS,3905,2,2020,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/mapoon-aurukun/
