;Activity;Latitude;Longitude
1;active, inferred;12.0833;45.6667
2;active, confirmed;11.95;43.6667
3;active, confirmed;39.55;14.7
4;active, inferred;38.789;15.213
5;active, inferred;38.7833;13.8666
6;active, confirmed;38.6583;15.1
7;active, inferred;38.6333;14.85
8;active, confirmed;38.625;14
9;active, inferred;38.58;14.1667
10;active, confirmed;38.4;15
11;active, confirmed;55.4167;167.2717
12;active, confirmed;52.98;-169.72
13;active, inferred;10.4166;94.1666
14;active, inferred;10;94
15;active, confirmed;5.8166;95.3
16;active, confirmed;-4.525;129.871
17;active, confirmed;-5.53;130.292
18;active, inferred;-6.102;105.423
19;active, inferred;-7.98;123.8
20;active, confirmed;-8.13;119.09
21;active, confirmed;-4.27;152.2
22;active, confirmed;-62.194;-57.2745
23;active, inferred;-62.642;-58.9833
24;active, inferred;-62.75;-59.25
25;active, confirmed;-62.95;-60.65
26;inactive;9.8333;57.95
27;active, inferred;6.05;60.95
28;active, inferred;3.7;63.6666
29;active, inferred;3.6916;63.8333
30;inactive;-1.6768;67.77
31;active, confirmed;18.95;-155.25
32;inactive;15;-157.5
33;active, confirmed;-14.2167;-169.0667
34;active, confirmed;-17.567;-148.8167
35;active, confirmed;-25.1667;-129.4
36;active, confirmed;-28.9833;-140.25
37;active, inferred;-38.7167;-91.5667
38;active, inferred;-39.05;-91.5833
39;active, inferred;-46.2;-75.8333
40;active, inferred;-46.3;-75.8
41;active, inferred;-5.4;68.5833
42;active, inferred;-8.25;68.2
43;active, inferred;-9.9;66.75
44;active, inferred;-10.66;66.5
45;active, inferred;-10.9;66.7
46;active, inferred;-11.2;66.5
47;active, inferred;-11.3;66.4
48;active, inferred;-12.25;65.7
49;active, inferred;-12.6;66.1
50;active, inferred;-14.3;66.1
51;active, inferred;-14.75;66.5
52;active, inferred;-17;66.8
53;active, confirmed;-18.347;65.305
54;active, inferred;-19.483;65.733
55;active, confirmed;-19.545;65.85
56;active, inferred;-21.4;68.7666
57;active, inferred;-22.9666;69.1833
58;inactive;-23.3927;69.2422
59;active, confirmed;-23.878;69.596
60;active, inferred;-24;69.6667
61;active, confirmed;-25.3195;70.04
62;active, confirmed;31.75;-116.75
63;active, inferred;31;-114.8
64;active, confirmed;26.6667;-111.8333
65;active, confirmed;33.7;-118.3167
66;active, confirmed;40.7833;14.0833
67;active, confirmed;40.7306;13.95
68;active, confirmed;40.0167;15.2667
69;active, confirmed;20.77;-105.52
70;active, confirmed;9.1175;-84.8397
71;active, confirmed;-56.0917;-30.325
72;active, inferred;-57.5;-30.2
73;active, confirmed;-60.05;-29.93
74;inactive;50.747;-130.8961
75;inactive;50.1;-129.75
76;active, confirmed;49.75;-130.2667
77;active, inferred;49.725;-130.2667
78;active, inferred;86.9833;55.5
79;active, inferred;86.5333;43
80;active, inferred;86.5333;69
81;active, inferred;86.35;37
82;active, inferred;85.65;84.8333
83;active, inferred;85.0167;7.45
84;active, inferred;84.4333;2.1333
85;active, inferred;83.85;-2
86;active, confirmed;82.8833;-6.25
87;active, inferred;2.67;-95.45
88;active, inferred;2.6;-94.775
89;active, inferred;2.53;-94.33
90;active, confirmed;2.53;-94.075
91;inactive;2.5;-95.1667
92;active, inferred;2.497;-93.77
93;inactive;2.25;-101.5
94;active, confirmed;2.1;-91.935
95;inactive;1.9707;-91.39
96;active, inferred;1.941;-91.31
97;inactive;1.9058;-91.231
98;active, confirmed;1.45;-86.1665
99;inactive;1.2267;-83.73
100;active, confirmed;1.22;-101.49
101;active, inferred;1;-90.6
102;active, inferred;0.95;-90.53
103;active, confirmed;0.83;-89.6083
104;active, confirmed;0.8058;-86.2267
105;active, confirmed;0.77;-88.3
106;active, confirmed;0.7683;-85.91
107;inactive;0.75;-85.8333
108;active, confirmed;0.75;-88.2
109;active, inferred;42.95;-126.55
110;active, confirmed;42.755;-126.7083
111;active, inferred;42.679;-126.782
112;active, inferred;42.55;-126.8333
113;inactive;41.5167;-127.45
114;active, confirmed;41;-127.4917
115;active, inferred;40.75;-127.52
116;active, inferred;31.0666;-114.0833
117;active, inferred;30.6333;-113.9083
118;active, confirmed;27.5083;-111.6792
119;active, confirmed;27.411;-111.3879
120;inactive;27.305;-111.5067
121;active, confirmed;27.0148;-111.4109
122;active, confirmed;23.9567;-108.8618
123;active, inferred;23.6423;-108.3948
124;active, confirmed;23.3765;-108.5315
125;active, confirmed;23.3553;-108.5443
126;active, confirmed;23.3526;-108.5597
127;active, inferred;23.2336;-108.6168
128;active, confirmed;37.615;23.336
129;active, confirmed;36.85;27.25
130;active, inferred;36.6667;27.25
131;active, confirmed;36.6667;24.5167
132;active, confirmed;36.66;27.13
133;active, inferred;36.5608;25.525
134;active, confirmed;36.56;27.14
135;active, confirmed;36.525;25.4833
136;active, confirmed;36.4333;25.4
137;active, confirmed;34.5467;139.4417
138;inactive;33.5667;140.1667
139;inactive;33.4;139.68
140;active, confirmed;32.1033;139.8683
141;active, inferred;31.8833;139.95
142;active, confirmed;31.4667;140.0667
143;inactive;31.3667;138.75
144;active, confirmed;28.575;140.6417
145;active, confirmed;28.32;140.58
146;active, confirmed;27.6833;140.8167
147;active, inferred;27.2367;140.8783
148;active, confirmed;26.7;141.0833
149;active, inferred;31.9667;139.7333
150;active, inferred;31.1;139.8917
151;active, inferred;48.4833;-129.0417
152;active, confirmed;48.456;-128.7088
153;active, confirmed;48.4341;-128.6812
154;active, inferred;48.1993;-128.9257
155;active, confirmed;47.9969;-129.0662
156;active, confirmed;47.9822;-129.0756
157;active, confirmed;47.9666;-129.0894
158;active, confirmed;47.9487;-129.0981
159;active, confirmed;47.9233;-129.1082
160;active, inferred;47.9;-129.124
161;active, confirmed;47.71;-127.787
162;active, inferred;47.64;-128.9667
163;active, confirmed;46.6899;-129.3772
164;active, confirmed;46.525;-129.5783
165;active, confirmed;46.3133;-129.705
166;active, confirmed;46.155;-129.81
167;inactive;46.0333;-130.55
168;active, confirmed;45.9892;-130.0272
169;active, confirmed;45.9333;-130.014
170;active, confirmed;45.9266;-129.9795
171;active, confirmed;44.98;-130.2
172;active, confirmed;44.8833;-130.2667
173;active, confirmed;44.7583;-130.275
174;active, confirmed;44.6667;-130.3667
175;active, confirmed;44.217;-129.625
176;active, confirmed;-26.39;-177.26
177;active, inferred;-26.81;-177.4
178;active, inferred;-27.2;-177.41
179;active, inferred;-27.68;-177.61
180;active, inferred;-28.59;-177.82
181;active, confirmed;-30.0333;-178.7167
182;active, confirmed;-30.214;-178.721
183;active, confirmed;-30.687;-178.453
184;active, confirmed;-31.097;-179.034
185;active, confirmed;-31.85;-179.188
186;active, inferred;-32.606;-179.609
187;active, inferred;-33.156;-179.956
188;active, inferred;-33.731;179.825
189;active, inferred;-34.058;179.589
190;active, inferred;-34.575;179.255
191;active, confirmed;-34.8667;179.0667
192;active, confirmed;-34.984;178.999
193;active, inferred;-35.36;178.517
194;active, confirmed;-35.7333;178.4667
195;active, confirmed;-36.1333;178.1833
196;active, confirmed;-36.325;178.0333
197;active, confirmed;-36.449;177.84
198;active, inferred;77.63;7.58
199;active, inferred;76.7833;8
200;active, inferred;74.8;8.4417
201;active, inferred;71.15;-12.79
202;active, inferred;68.7581;-16
203;inactive;68;-17.5
204;active, confirmed;67.0833;-18.7167
205;active, confirmed;66.6067;-17.6542
206;active, confirmed;65.85;-18.1333
207;inactive;50.33;155.5
208;active, confirmed;47.5167;152.8
209;active, confirmed;43.976;145.736
210;active, confirmed;-14.9166;-173.7833
211;active, confirmed;-14.92;-177.25
212;active, inferred;-14.9333;-173.7916
213;inactive;-14.9583;-173.7833
214;active, inferred;-14.9833;-173.8
215;active, confirmed;-15.0049;-173.7936
216;active, confirmed;-15.0166;-173.7833
217;active, inferred;-15.0416;-173.7833
218;active, inferred;-15.2179;-174.1788
219;active, inferred;-15.33;-174.25
220;active, inferred;-15.333;-176.283
221;active, confirmed;-15.379;-174.0196
222;active, confirmed;-15.3833;-174.25
223;active, inferred;-15.385;-174.643
224;active, inferred;-15.403;-174.263
225;active, confirmed;-15.4217;-174.285
226;active, inferred;-15.45;-175.7
227;active, inferred;-15.5134;-174.7407
228;active, inferred;-15.61;-174.82
229;active, inferred;-15.7186;-174.8338
230;active, inferred;-15.8;-177.2666
231;active, inferred;-15.9;-177.4166
232;active, inferred;-15.954;-174.711
233;active, inferred;-15.9629;-174.7961
234;active, inferred;-16.115;-174.568
235;active, inferred;-16.311;-174.555
236;active, inferred;-16.4917;-174.5417
237;active, inferred;-16.6667;-174.5167
238;active, inferred;-16.795;-174.523
239;active, inferred;-16.9233;-176.825
240;active, inferred;-17.025;-174.5017
241;active, confirmed;-17.5352;-174.5668
242;active, inferred;-17.785;-174.526
243;active, inferred;-17.8667;-176.3833
244;active, inferred;-18.05;-176.3333
245;active, inferred;-18.1333;-176.3667
246;active, inferred;-18.1333;-176.2833
247;active, inferred;-18.5;-176.3833
248;active, confirmed;-18.6;-176.45
249;active, inferred;-19.6;-175.975
250;active, inferred;-19.65;-175.989
251;active, inferred;-19.75;-176.019
252;active, inferred;-19.82;-176.042
253;active, inferred;-19.89;-176.064
254;active, confirmed;-20.0532;-176.1336
255;active, confirmed;-20.3169;-176.1367
256;active, inferred;-20.4;-176.158
257;active, confirmed;-20.69;-176.18
258;active, confirmed;-20.7619;-176.191
259;active, inferred;-20.87;-176.217
260;active, inferred;-20.95;-176.239
261;active, inferred;-20.99;-176.253
262;active, inferred;-21.107;-176.292
263;active, inferred;-21.1667;-176.3333
264;active, inferred;-21.27;-176.347
265;active, inferred;-21.32;-176.364
266;active, inferred;-21.415;-176.372
267;active, inferred;-21.73;-176.453
268;active, confirmed;-21.92;-176.533
269;active, confirmed;-21.9612;-176.5234
